time,lat,lon,min_slp_hpa,max_wind_near_center_ms
2026-07-10_18:00:00,26.413818359375,122.21138763427734,992.702578125,17.463916200445215
2026-07-10_19:00:00,25.4150390625,123.32182312011719,981.385390625,24.234054355129814
2026-07-10_20:00:00,24.545753479003906,124.53321838378906,958.66609375,29.945901117295655
2026-07-10_21:00:00,24.453895568847656,124.8360595703125,956.0266586339786,38.24458950252584
2026-07-10_22:00:00,24.637550354003906,124.8360595703125,955.665078125,37.9181630756707
2026-07-10_23:00:00,24.820938110351562,124.78559112548828,956.44796875,40.53858650068997
2026-07-11_00:00:00,25.095497131347656,124.68463897705078,956.815546875,40.28243353261742
2026-07-11_01:00:00,25.506195068359375,124.53321838378906,957.036640625,41.077291768878844
2026-07-11_02:00:00,25.870079040527344,124.2303695678711,957.334453125,41.667797948606996
2026-07-11_03:00:00,26.14226531982422,123.7761001586914,956.63625,40.16117029341167
2026-07-11_04:00:00,26.23284912109375,123.5741958618164,956.913515625,38.8740489869042
2026-07-11_05:00:00,26.459007263183594,123.17040252685547,957.46453125,39.30391855675481
2026-07-11_06:00:00,26.59449005126953,122.968505859375,957.533671875,36.83882114757465
2026-07-11_07:00:00,26.639610290527344,122.71613311767578,957.762890625,35.282792079424226
2026-07-11_08:00:00,26.639610290527344,122.66565704345703,957.8878125,34.25291824114722
2026-07-11_09:00:00,26.954986572265625,122.51423645019531,958.35828125,34.08341586472613
2026-07-11_10:00:00,27.089881896972656,122.36280822753906,958.751953125,32.24894099774464
2026-07-11_11:00:00,27.179718017578125,122.21138763427734,959.456796875,31.680237789190016
2026-07-11_12:00:00,27.35918426513672,121.8075942993164,961.01609375,33.17683838500814
2026-07-11_13:00:00,27.35918426513672,121.75711822509766,962.07390625,32.220533214700154
2026-07-11_14:00:00,27.76190948486328,121.55522155761719,963.010390625,30.532854157775926
2026-07-11_15:00:00,27.76190948486328,121.15142059326172,963.0253719404152,30.577032005318703
2026-07-11_16:00:00,28.252098083496094,121.20189666748047,963.6829017567155,30.578551071295806
2026-07-11_17:00:00,28.16313934326172,121.10094451904297,964.2856231756256,31.85227672557191
2026-07-11_18:00:00,28.296546936035156,121.05047607421875,964.8040605463236,29.694702906987207
2026-07-11_19:00:00,28.74004364013672,120.79810333251953,964.7514105698765,32.22500922678285
2026-07-11_20:00:00,29.0052490234375,120.39430236816406,964.4643228353053,30.985808447261604
2026-07-11_21:00:00,29.093505859375,120.24288177490234,965.7131303783389,27.711755662619
2026-07-11_22:00:00,29.181686401367188,119.99050903320312,966.8319248363537,30.732640129612538
2026-07-11_23:00:00,29.225738525390625,119.83908081054688,967.8199076279351,25.761937182274576
2026-07-12_00:00:00,29.35779571533203,119.7381362915039,969.179604871051,20.729575962895176
2026-07-12_01:00:00,29.533615112304688,119.6371841430664,970.1797046031589,21.484123473472973
2026-07-12_02:00:00,29.66527557373047,119.48576354980469,971.5394975806753,19.7268566433341
2026-07-12_03:00:00,29.84056854248047,119.38481140136719,972.5237676852488,19.33078368909002
2026-07-12_04:00:00,29.971832275390625,119.18291473388672,973.6216102782046,19.297577013592488
2026-07-12_05:00:00,30.10289764404297,119.08196258544922,974.611065663213,18.805022278298757
2026-07-12_06:00:00,30.277427673339844,118.9305419921875,975.1186922839295,18.551695467561782
2026-07-12_07:00:00,30.36456298828125,118.82958984375,974.7985234943882,18.48384654328807
2026-07-12_08:00:00,30.495132446289062,118.77912139892578,975.7674070666909,18.185459584226358
2026-07-12_09:00:00,30.6689453125,118.72864532470703,976.8227416565883,18.700116694906207
2026-07-12_10:00:00,30.799102783203125,118.62769317626953,977.3253744183046,18.930071169538287
2026-07-12_11:00:00,30.842445373535156,118.52674865722656,977.7837041259903,18.943643237928313
2026-07-12_12:00:00,30.9290771484375,118.47627258300781,978.7987078671272,20.68408527099151
2026-07-12_13:00:00,31.058883666992188,118.42579650878906,979.8660412807732,17.22340963805373
2026-07-12_14:00:00,31.231674194335938,118.37532043457031,980.4054251395705,16.182432133772437
2026-07-12_15:00:00,31.361061096191406,118.27437591552734,980.5016936911006,16.1479673419281
2026-07-12_16:00:00,31.490272521972656,118.1229476928711,980.7066873920797,14.944509956193592
2026-07-12_17:00:00,31.619308471679688,118.02200317382812,981.1643270835385,14.365208965494572
2026-07-12_18:00:00,31.7481689453125,117.97152709960938,981.0475597212649,14.621580093259746
2026-07-12_19:00:00,31.833969116210938,117.92105102539062,981.0980705736862,12.97719258362467
2026-07-12_20:00:00,31.919692993164062,117.87057495117188,981.2976016332744,14.042634513751642
2026-07-12_21:00:00,32.005340576171875,117.87057495117188,981.9191245693726,12.474308689533073
2026-07-12_22:00:00,32.04814147949219,117.87057495117188,982.5960974048979,12.89300063054144
2026-07-12_23:00:00,32.13365173339844,117.87057495117188,982.9197911565952,14.509414182105813
2026-07-13_00:00:00,32.17639923095703,117.87057495117188,983.5320368214566,14.081563337852476
2026-07-13_01:00:00,32.17639923095703,117.87057495117188,984.1727897666291,14.209696176602078
2026-07-13_02:00:00,32.17639923095703,117.87057495117188,984.966990651458,14.629715709511784
2026-07-13_03:00:00,32.17639923095703,117.87057495117188,985.7880803865171,14.218958254831119
2026-07-13_04:00:00,32.17639923095703,117.92105102539062,986.3101141747646,14.602622001309328
2026-07-13_05:00:00,32.17639923095703,117.71915435791016,986.707300093361,14.650309553324727
2026-07-13_06:00:00,32.17639923095703,117.6686782836914,986.3899926969086,13.173854923189587
2026-07-13_07:00:00,32.17639923095703,117.82009887695312,986.4101090345503,13.195122198781068
2026-07-13_08:00:00,32.17639923095703,117.61820220947266,986.4366126743084,13.793953080406887
2026-07-13_09:00:00,32.17639923095703,117.71915435791016,987.5747212390127,13.663120375037176
2026-07-13_10:00:00,32.17639923095703,117.7696304321289,987.7896990438721,15.02600155539903
2026-07-13_11:00:00,32.17639923095703,117.56773376464844,987.7303082603838,13.361997079625874
2026-07-13_12:00:00,32.17639923095703,117.21440887451172,988.8717234198725,14.779291621319008
2026-07-13_13:00:00,32.17639923095703,117.82009887695312,989.5334639839377,16.650030383804996
2026-07-13_14:00:00,32.17639923095703,117.7696304321289,990.2567704773642,16.817934068310667
2026-07-13_15:00:00,32.17639923095703,117.87057495117188,990.6224266663967,15.17288237593034
2026-07-13_16:00:00,32.17639923095703,118.17342376708984,991.1381376486902,14.641500686237231
2026-07-13_17:00:00,32.17639923095703,118.27437591552734,991.8739309504093,14.099647969793912
2026-07-13_18:00:00,32.17639923095703,118.17342376708984,992.1988336754213,12.988815711251938
2026-07-13_19:00:00,32.17639923095703,118.17342376708984,992.8310791884305,14.810086491964464
2026-07-13_20:00:00,32.17639923095703,118.42579650878906,993.5455014657427,11.573310532277201
2026-07-13_21:00:00,32.17639923095703,118.27437591552734,994.5604396744997,12.310982072306967
2026-07-13_22:00:00,32.17639923095703,118.42579650878906,995.6278999281444,11.640321094982621
2026-07-13_23:00:00,32.17639923095703,118.27437591552734,995.8811086442237,9.499963198904183
2026-07-14_00:00:00,32.17639923095703,118.37532043457031,996.6666139971675,9.92172224139909
2026-07-14_01:00:00,32.17639923095703,118.82958984375,997.0518680407939,10.553984966709976
2026-07-14_02:00:00,32.17639923095703,118.88006591796875,997.0617500567279,8.992091267555386
2026-07-14_03:00:00,32.17639923095703,118.88006591796875,996.7361239483215,9.258832282325887
2026-07-14_04:00:00,32.17639923095703,118.9305419921875,996.6875695315504,9.481855637282388
2026-07-14_05:00:00,32.17639923095703,119.031494140625,996.5800246045258,9.39563763058734
2026-07-14_06:00:00,32.17639923095703,118.98101806640625,996.3718140732798,9.550974794517654
