time,lat,lon,min_slp_hpa
2026-07-10_18:00:00,25.915504455566406,122.3628158569336,990.465234375
2026-07-10_21:00:00,24.820953369140625,124.02847290039062,966.3994755855979
2026-07-11_00:00:00,25.09551239013672,124.63416290283203,956.6490625
2026-07-11_03:00:00,26.187576293945312,123.87704467773438,956.823515625
2026-07-11_06:00:00,26.459022521972656,123.11993408203125,957.59640625
2026-07-11_09:00:00,26.86498260498047,122.66565704345703,958.32
2026-07-11_12:00:00,27.538368225097656,121.90853881835938,960.34046875
2026-07-11_15:00:00,27.94042205810547,121.30284881591797,962.5128001067131
2026-07-11_18:00:00,28.47418975830078,120.84857940673828,966.1858835656452
2026-07-11_21:00:00,29.005264282226562,120.24288177490234,967.875892379421
2026-07-12_00:00:00,29.26978302001953,119.6371841430664,970.6521951612871
2026-07-12_03:00:00,29.66529083251953,119.33434295654297,974.2695527969859
2026-07-12_06:00:00,30.059242248535156,118.88006591796875,976.7662807308716
2026-07-12_09:00:00,30.451637268066406,118.57722473144531,978.206646643044
2026-07-12_12:00:00,30.712356567382812,118.42579650878906,979.7820883243962
2026-07-12_15:00:00,30.972366333007812,118.27437591552734,981.2453057885879
2026-07-12_18:00:00,31.36107635498047,118.12295532226562,981.8098233152426
2026-07-12_21:00:00,31.876853942871094,118.12295532226562,982.701547536751
2026-07-13_00:00:00,32.261802673339844,117.97152709960938,983.9541133985074
2026-07-13_03:00:00,32.51753234863281,117.97152709960938,984.8672237080553
2026-07-13_06:00:00,32.89976501464844,117.82010650634766,984.24949530383
2026-07-13_09:00:00,33.1536865234375,117.6686782836914,984.0726761594839
2026-07-13_12:00:00,33.40686798095703,117.97152709960938,984.4600926024451
2026-07-13_15:00:00,33.91100311279297,118.12295532226562,985.4091195575029
2026-07-13_18:00:00,34.41218566894531,118.57722473144531,985.5432814776802
2026-07-13_21:00:00,35.158363342285156,119.18291473388672,985.4380984935392
2026-07-14_00:00:00,35.774986267089844,119.6371841430664,985.3946595986747
2026-07-14_03:00:00,36.26487731933594,120.09146118164062,984.8456434042995
2026-07-14_06:00:00,36.75171661376953,120.54573059082031,984.1918869819775
2026-07-14_09:00:00,36.872955322265625,121.0,984.0522339178721
2026-07-14_12:00:00,37.71617126464844,122.51423645019531,985.5011608668474
2026-07-14_15:00:00,38.31266784667969,123.11993408203125,985.40984375
2026-07-14_18:00:00,38.31266784667969,123.72562408447266,984.723515625
2026-07-14_21:00:00,38.54991149902344,124.3313217163086,985.61515625
2026-07-15_00:00:00,38.54991149902344,125.39128112792969,987.4591559055423
2026-07-15_03:00:00,38.431365966796875,125.99697875976562,988.9621269195069
2026-07-15_06:00:00,40.07286071777344,126.905517578125,990.4601356754576
2026-07-15_09:00:00,40.87913513183594,128.7226104736328,990.455932644433
2026-07-15_12:00:00,40.87913513183594,130.6911163330078,993.482421875
2026-07-15_15:00:00,41.10771179199219,132.6596221923828,992.806875
2026-07-15_18:00:00,41.4490966796875,134.6281280517578,990.800625
2026-07-15_21:00:00,41.56251525878906,136.5966339111328,991.427265625
2026-07-16_00:00:00,41.67570495605469,137.65660095214844,996.169765625
2026-07-16_03:00:00,42.12652587890625,135.83950805664062,998.099296875
2026-07-16_06:00:00,42.35072326660156,134.779541015625,998.56890625
2026-07-16_09:00:00,42.35072326660156,133.71957397460938,998.771875
2026-07-16_12:00:00,42.35072326660156,134.779541015625,1000.505390625
2026-07-16_15:00:00,42.35072326660156,134.3252716064453,1000.764921875
2026-07-16_18:00:00,42.35072326660156,135.38523864746094,1000.592265625
2026-07-16_21:00:00,42.35072326660156,134.3252716064453,1002.26140625
2026-07-17_00:00:00,42.35072326660156,133.87100219726562,1003.3553125
2026-07-17_03:00:00,42.35072326660156,133.2653045654297,1004.026171875
2026-07-17_06:00:00,42.35072326660156,133.71957397460938,1004.396953125
2026-07-17_09:00:00,42.35072326660156,132.6596221923828,1005.3884375
2026-07-17_12:00:00,41.901519775390625,132.05392456054688,1006.600703125
2026-07-17_15:00:00,41.56251525878906,130.08541870117188,1007.0581240554313
2026-07-17_18:00:00,41.10771179199219,129.78256225585938,1007.2889379991356
2026-07-17_21:00:00,42.12652587890625,128.11691284179688,1007.0828430118836
2026-07-18_00:00:00,40.87913513183594,126.60267639160156,1004.7104914692087
2026-07-18_03:00:00,42.23872375488281,127.96548461914062,1004.2231737186888
2026-07-18_06:00:00,42.23872375488281,127.20836639404297,1004.0726367592596
2026-07-18_09:00:00,42.35072326660156,125.23986053466797,1003.9523448353559
2026-07-18_12:00:00,42.35072326660156,123.42277526855469,1003.8628269411328
2026-07-18_15:00:00,42.35072326660156,121.45426940917969,1004.4541088886081
2026-07-18_18:00:00,42.35072326660156,119.94003295898438,1002.0599529971424
2026-07-18_21:00:00,42.35072326660156,119.94003295898438,1002.1011453147921
2026-07-19_00:00:00,42.35072326660156,118.57722473144531,1001.7176843545818
2026-07-19_03:00:00,42.35072326660156,116.60871887207031,999.1883249846071
2026-07-19_06:00:00,42.35072326660156,114.64021301269531,992.0850223173262
2026-07-19_09:00:00,42.35072326660156,112.82312774658203,991.2214060752083
2026-07-19_12:00:00,42.35072326660156,110.85462188720703,993.7687665483169
2026-07-19_15:00:00,40.649749755859375,109.94607543945312,995.5524042441527
2026-07-19_18:00:00,40.649749755859375,107.97756958007812,994.3357263638067
2026-07-19_21:00:00,39.6077880859375,106.3119125366211,995.06703018925
2026-07-20_00:00:00,40.30421447753906,107.52330017089844,994.4046370278946
2026-07-20_03:00:00,40.07286071777344,108.2804183959961,993.2129130153224
2026-07-20_06:00:00,40.649749755859375,109.49180603027344,990.9346278289906
2026-07-20_09:00:00,39.49102783203125,108.43183898925781,990.3532814438795
2026-07-20_12:00:00,38.668212890625,106.61476135253906,990.9707189280606
2026-07-20_15:00:00,39.49102783203125,104.79767608642578,993.3059208644922
2026-07-20_18:00:00,39.256927490234375,102.82917022705078,991.7081883949213
